student_id,attendance,study_hours,assignment_completion,internal_marks,previous_gpa,participation_score,sleep_hours,internet_access,family_support,extra_curricular,risk_category,pass_status
STU-0063,52,0.5,57,24,7.62,95,9.2,1,0,1,Medium Risk,0
STU-0064,51,1.0,62,62,4.39,42,4.9,1,1,0,Medium Risk,0
STU-0065,91,0.9,63,53,7.9,33,6.5,1,0,1,Low Risk,1
STU-0066,100,0.9,63,45,6.29,58,8.7,0,1,0,Medium Risk,0
STU-0067,73,7.1,68,63,7.06,57,8.7,1,0,1,Low Risk,1
STU-0068,95,0.9,81,72,8.4,79,6.7,0,1,1,Low Risk,1
STU-0069,82,1.0,91,100,4.53,40,5.9,1,1,1,Low Risk,1
STU-0070,62,4.3,53,34,5.63,94,8.4,1,1,0,Low Risk,1
STU-0071,82,1.8,39,88,7.91,100,8.8,0,0,1,Medium Risk,0
STU-0072,100,4.5,43,84,10.0,59,5.3,0,0,1,Low Risk,1
STU-0073,74,0.5,57,49,6.72,91,5.2,1,1,1,Low Risk,1
STU-0074,100,2.0,61,69,8.18,33,7.3,1,1,0,Low Risk,1
STU-0075,22,0.5,50,55,6.79,86,7.9,1,1,1,Low Risk,1
STU-0076,91,0.5,37,68,10.0,86,6.6,1,1,1,Low Risk,1
STU-0077,76,7.1,58,95,3.51,81,8.0,1,1,1,Low Risk,1
STU-0078,69,0.5,74,77,7.19,59,5.9,0,1,1,Low Risk,1
STU-0079,76,2.3,84,75,3.75,0,3.8,1,1,0,Medium Risk,0
STU-0080,35,1.6,56,56,1.99,43,6.4,0,1,0,Medium Risk,0
STU-0081,70,1.3,59,35,7.59,44,7.1,1,0,1,Medium Risk,0
STU-0082,82,6.9,46,60,7.28,35,6.6,1,1,0,Medium Risk,0
STU-0083,100,0.5,69,89,6.43,63,5.3,0,0,1,Low Risk,1
STU-0084,64,3.3,48,34,6.79,49,4.3,1,1,0,Medium Risk,0
STU-0085,58,9.9,84,43,10.0,39,6.2,1,1,1,Medium Risk,0
STU-0086,64,2.5,25,67,6.48,33,8.3,1,1,0,Medium Risk,0
STU-0087,93,8.3,61,45,8.02,42,8.9,1,1,1,Low Risk,1
STU-0088,81,0.5,77,49,5.7,88,8.8,1,1,0,Medium Risk,0
STU-0089,64,1.6,74,56,7.59,43,5.8,1,1,0,Low Risk,1
STU-0090,85,0.9,100,37,6.52,47,5.3,1,1,0,Medium Risk,0
STU-0091,76,3.9,78,45,6.18,48,7.7,1,0,0,Low Risk,1
STU-0092,94,11.9,44,79,10.0,68,8.0,1,0,1,Low Risk,1
STU-0093,60,0.9,67,38,9.35,71,7.6,1,1,0,Medium Risk,0
STU-0094,68,3.2,25,33,7.27,0,4.0,1,0,1,Medium Risk,0
STU-0095,67,0.7,67,52,2.39,85,5.7,1,1,1,Low Risk,1
STU-0096,45,2.5,49,79,6.28,95,7.0,1,1,1,Medium Risk,0
STU-0097,80,1.9,92,61,10.0,33,7.7,1,1,1,Low Risk,1
STU-0098,80,10.7,56,55,6.54,35,8.2,1,1,1,Low Risk,1
STU-0099,75,2.8,67,65,9.21,48,7.2,1,1,1,Low Risk,1
STU-0100,70,1.3,54,30,9.88,41,7.5,1,1,1,Low Risk,1
STU-0101,46,0.5,100,74,7.44,65,7.1,1,1,0,Medium Risk,0
STU-0102,66,0.5,61,72,5.32,11,8.0,1,0,0,Medium Risk,0
STU-0103,68,0.8,100,56,2.13,32,7.5,1,1,1,Medium Risk,0
STU-0104,58,0.9,90,85,8.37,98,7.1,0,1,1,Medium Risk,0
STU-0105,71,5.7,82,42,5.37,36,6.6,0,1,1,Medium Risk,0
STU-0106,83,2.5,79,87,7.35,91,7.1,1,1,1,Low Risk,1
STU-0107,100,2.2,79,68,4.5,68,7.7,1,1,0,Low Risk,1
STU-0108,78,0.5,21,58,6.47,14,7.4,1,1,1,Medium Risk,0
STU-0109,80,5.9,63,64,7.07,75,7.6,1,1,1,Low Risk,1
STU-0110,73,3.8,91,62,7.54,57,9.0,1,1,0,Low Risk,1
STU-0111,36,0.5,68,89,4.77,48,7.4,1,0,1,Medium Risk,0
STU-0112,74,3.7,34,43,9.39,66,6.0,0,1,0,Medium Risk,0
STU-0113,76,2.4,68,49,5.81,71,8.3,0,1,1,Medium Risk,0
STU-0114,100,0.5,100,85,3.65,77,5.0,1,0,1,Low Risk,1
STU-0115,71,1.8,100,53,6.78,89,5.4,1,1,0,Low Risk,1
STU-0116,81,2.0,68,83,7.07,70,7.5,1,0,1,Low Risk,1
STU-0117,74,0.5,93,98,7.32,25,7.8,1,1,1,Low Risk,1
STU-0118,51,8.7,60,56,9.72,48,5.1,1,1,0,Low Risk,1
STU-0119,97,5.7,27,78,6.53,100,6.4,1,1,0,Low Risk,1
STU-0120,90,3.3,46,41,6.76,78,6.1,1,1,1,Medium Risk,0
STU-0121,90,1.9,100,80,4.79,100,6.3,1,0,0,Medium Risk,0
STU-0122,56,1.6,63,68,8.64,94,8.4,1,0,1,Medium Risk,0
STU-0123,100,3.2,63,74,7.37,66,8.1,1,1,0,Low Risk,1
STU-0124,46,2.4,62,52,6.16,67,7.0,1,1,1,Low Risk,1
STU-0125,86,0.5,100,31,3.19,59,6.2,1,1,1,Medium Risk,0
STU-0126,100,2.2,100,75,9.89,16,5.0,1,1,0,Low Risk,1
STU-0127,55,4.9,100,23,4.54,60,9.1,1,1,1,Medium Risk,0
STU-0128,63,1.8,66,58,5.82,90,7.9,1,1,1,Low Risk,1
STU-0129,76,0.5,77,83,7.72,45,5.9,1,1,1,Low Risk,1
STU-0130,64,4.6,32,68,4.61,70,8.1,1,0,1,Medium Risk,0
STU-0131,43,0.7,100,100,4.01,81,6.9,1,1,1,Medium Risk,0
STU-0132,76,0.9,40,85,2.75,37,6.6,1,1,1,Medium Risk,0
STU-0133,53,0.5,75,51,8.44,48,7.7,0,0,1,Medium Risk,0
STU-0134,84,1.2,42,65,5.91,34,5.9,1,1,1,Medium Risk,0
STU-0135,56,4.2,55,64,10.0,39,6.5,1,1,0,Medium Risk,0
STU-0136,100,2.2,49,33,5.01,27,7.2,0,1,1,Medium Risk,0
STU-0137,59,0.7,54,46,5.16,37,6.3,1,1,0,Medium Risk,0
STU-0138,68,6.3,56,53,5.87,95,8.0,1,0,0,Low Risk,1
STU-0139,91,6.4,56,24,7.49,37,9.8,1,1,0,Medium Risk,0
STU-0140,50,6.1,90,65,6.06,63,5.9,1,0,0,Low Risk,1
STU-0141,79,0.8,42,60,8.22,47,4.5,1,1,0,Medium Risk,0
STU-0142,100,1.8,75,31,5.04,89,4.0,1,1,0,Medium Risk,0
STU-0143,42,12.0,100,73,4.24,92,6.8,1,1,0,Medium Risk,0
STU-0144,78,4.4,57,79,3.4,81,6.0,1,0,1,Low Risk,1
STU-0145,80,0.5,52,69,2.55,67,7.3,1,1,0,Low Risk,1
STU-0146,90,0.5,64,58,5.96,54,7.2,1,1,0,Low Risk,1
STU-0147,50,1.9,99,76,6.4,30,4.6,1,1,0,Medium Risk,0
STU-0148,48,7.2,74,78,5.74,100,4.3,1,1,0,Low Risk,1
STU-0149,85,2.3,56,71,9.49,41,7.4,1,0,0,Low Risk,1
STU-0150,80,2.1,82,48,9.46,76,7.2,1,1,1,Low Risk,1
STU-0151,80,0.5,42,70,6.33,86,6.4,1,1,1,Low Risk,1
STU-0152,81,3.2,87,88,3.41,46,4.5,1,1,1,Low Risk,1
STU-0153,61,5.2,80,53,5.87,85,7.7,1,1,1,Low Risk,1
STU-0154,79,1.4,62,100,5.8,79,8.9,1,1,0,Low Risk,1
STU-0155,80,4.5,49,54,5.69,100,7.4,1,1,0,Low Risk,1
STU-0156,60,10.0,47,65,5.6,48,5.7,1,1,0,Low Risk,1
STU-0157,100,0.7,83,51,5.69,27,7.1,1,0,1,Low Risk,1
STU-0158,84,2.2,100,69,6.23,47,5.0,1,0,0,Low Risk,1
STU-0159,51,1.0,54,30,5.73,65,8.6,1,1,1,Medium Risk,0
STU-0160,88,4.7,81,54,7.42,61,7.1,1,0,0,Low Risk,1
STU-0161,55,2.6,17,43,7.72,50,4.3,1,1,0,High Risk,0
STU-0162,90,3.0,55,67,5.18,12,6.5,1,1,1,Low Risk,1
STU-0163,98,4.8,69,84,9.54,71,7.7,1,1,1,Low Risk,1
STU-0164,58,1.5,47,77,5.04,100,6.5,0,1,1,Medium Risk,0
STU-0165,94,7.4,46,17,3.76,71,6.6,1,1,1,Medium Risk,0
STU-0166,83,2.3,53,100,7.76,75,5.2,1,0,1,Low Risk,1
STU-0167,91,0.5,77,70,5.37,74,7.8,1,1,1,Low Risk,1
STU-0168,100,3.6,65,49,7.64,69,6.0,1,0,1,Low Risk,1
STU-0169,70,4.7,14,68,2.19,83,3.8,1,1,0,Medium Risk,0
STU-0170,59,1.1,16,68,9.78,69,6.4,1,1,1,Medium Risk,0
STU-0171,57,5.8,54,51,8.34,52,8.5,1,1,1,Low Risk,1
STU-0172,58,7.1,81,68,4.0,40,6.4,0,1,0,Medium Risk,0
STU-0173,73,1.0,1,52,4.04,53,9.6,1,1,1,Medium Risk,0
STU-0174,81,12.0,57,56,10.0,67,7.6,1,1,1,Low Risk,1
STU-0175,80,0.5,56,51,5.53,52,7.5,1,1,1,Low Risk,1
STU-0176,91,0.7,100,36,5.33,67,6.8,0,1,0,Medium Risk,0
STU-0177,75,0.6,60,67,2.47,70,6.9,1,1,1,Low Risk,1
STU-0178,100,6.7,79,76,6.3,80,6.6,1,1,1,Low Risk,1
STU-0179,69,3.2,73,75,6.54,92,6.5,1,0,1,Low Risk,1
STU-0180,100,0.5,16,81,8.43,61,7.8,1,0,0,Medium Risk,0
STU-0181,87,1.7,89,71,4.2,27,5.6,1,0,1,Medium Risk,0
STU-0182,57,2.9,75,54,3.96,51,5.4,1,0,0,Medium Risk,0
STU-0183,53,0.5,82,81,7.9,61,5.3,1,1,1,Low Risk,1
STU-0184,84,6.4,100,37,9.01,14,10.1,1,1,0,Medium Risk,0
STU-0185,70,4.9,17,46,3.86,94,7.8,1,1,1,Medium Risk,0
STU-0186,89,2.1,100,45,9.16,63,7.5,1,1,1,Low Risk,1
STU-0187,84,10.2,62,86,7.08,69,5.4,1,1,0,Low Risk,1
STU-0188,73,1.6,77,83,9.18,94,7.9,1,1,0,Low Risk,1
STU-0189,58,12.0,68,74,6.86,44,6.8,1,1,0,Low Risk,1
STU-0190,44,3.3,59,86,1.96,74,7.3,1,1,0,Medium Risk,0
STU-0191,66,3.0,55,47,6.7,57,5.5,0,1,0,Low Risk,1
STU-0192,92,0.5,78,71,9.12,55,7.2,1,1,1,Low Risk,1
STU-0193,79,6.4,32,62,5.21,40,6.4,1,1,1,Low Risk,1
STU-0194,50,1.7,88,81,6.22,100,5.9,1,1,1,Low Risk,1
STU-0195,78,0.5,59,62,6.65,50,8.1,1,0,1,Low Risk,1
STU-0196,82,0.5,41,57,1.2,77,4.7,1,1,0,Medium Risk,0
STU-0197,57,2.5,58,75,10.0,13,7.8,1,1,0,Medium Risk,0
STU-0198,78,2.2,100,82,5.2,89,8.0,1,1,0,Low Risk,1
STU-0199,76,3.8,56,51,8.01,86,5.7,1,1,1,Low Risk,1
STU-0200,52,6.6,78,63,6.83,62,5.8,0,1,1,Low Risk,1
STU-0201,82,0.5,51,43,9.52,54,6.7,0,1,0,Medium Risk,0
STU-0202,86,3.9,88,15,7.81,70,7.4,1,1,0,Low Risk,1
STU-0203,96,0.6,87,69,6.53,100,6.8,0,1,1,Low Risk,1
STU-0204,96,5.9,100,77,5.21,15,7.7,0,1,1,Low Risk,1
STU-0205,47,5.1,65,70,8.6,79,9.6,1,1,1,Low Risk,1
STU-0206,56,2.3,86,26,3.25,37,6.2,1,0,0,High Risk,0
STU-0207,85,3.7,72,57,8.29,59,4.4,1,1,1,Low Risk,1
STU-0208,85,1.1,100,20,4.8,53,8.2,1,0,0,Medium Risk,0
STU-0209,85,1.9,52,92,9.5,49,9.5,1,1,1,Low Risk,1
STU-0210,100,5.2,88,43,7.32,59,7.6,1,1,1,Low Risk,1
STU-0211,86,1.8,65,90,8.29,31,5.4,1,0,1,Low Risk,1
STU-0212,97,1.3,68,83,7.16,85,6.8,1,1,0,Low Risk,1
STU-0213,94,2.0,72,46,3.5,15,5.3,1,1,0,Medium Risk,0
STU-0214,88,5.3,76,42,5.28,73,8.0,1,0,1,Low Risk,1
STU-0215,68,1.2,67,72,8.34,51,5.0,1,0,0,Low Risk,1
STU-0216,90,0.6,75,48,7.33,30,6.5,0,1,1,Medium Risk,0
STU-0217,59,3.7,100,67,9.36,65,5.5,1,1,1,Low Risk,1
STU-0218,70,5.2,94,55,7.81,21,7.2,0,1,0,Low Risk,1
STU-0219,65,0.5,91,29,5.07,60,6.5,1,1,1,Low Risk,1
STU-0220,76,0.8,58,20,5.41,24,7.3,1,1,0,Medium Risk,0
STU-0221,100,0.5,47,69,7.21,71,7.0,1,1,1,Low Risk,1
STU-0222,37,1.3,93,53,2.37,36,5.5,0,1,1,Medium Risk,0
STU-0223,88,1.8,91,53,10.0,48,7.9,0,1,1,Low Risk,1
STU-0224,42,4.1,100,78,7.88,67,6.9,1,1,0,Low Risk,1
STU-0225,65,3.2,54,88,9.45,40,5.5,1,1,1,Low Risk,1
STU-0226,96,2.9,64,59,3.84,58,10.4,1,1,1,Low Risk,1
STU-0227,76,1.3,29,58,9.49,22,7.7,1,1,0,Medium Risk,0
STU-0228,53,5.5,60,75,10.0,75,6.8,1,1,1,Low Risk,1
STU-0229,60,1.9,94,37,4.36,100,9.1,1,0,1,Medium Risk,0
STU-0230,88,11.6,58,69,8.54,100,9.8,0,1,1,Low Risk,1
STU-0231,60,3.0,86,76,7.0,62,6.8,0,1,1,Low Risk,1
STU-0232,79,0.5,65,78,3.91,79,7.5,1,1,0,Low Risk,1
STU-0233,75,3.4,78,26,7.99,15,5.5,1,1,1,Low Risk,1
STU-0234,61,1.2,41,49,8.67,97,6.8,0,1,0,Medium Risk,0
STU-0235,100,3.5,72,47,5.8,79,6.7,1,1,0,Low Risk,1
STU-0236,87,0.5,0,66,9.33,47,7.3,0,1,0,Medium Risk,0
STU-0237,34,0.6,65,74,3.67,90,7.5,1,0,0,Medium Risk,0
STU-0238,78,5.8,29,94,4.01,53,7.8,0,1,0,Medium Risk,0
STU-0239,61,0.8,100,55,7.27,48,7.4,1,1,1,Low Risk,1
STU-0240,92,5.4,89,55,7.05,71,5.2,1,1,1,Low Risk,1
STU-0241,59,1.0,81,87,5.57,33,5.6,1,1,1,Medium Risk,0
STU-0242,72,3.1,100,70,8.62,85,6.2,0,1,0,Low Risk,1
STU-0243,85,3.6,46,90,8.06,33,6.6,1,0,0,Medium Risk,0
STU-0244,92,2.2,100,70,8.72,33,8.6,0,1,1,Low Risk,1
STU-0245,50,1.1,93,41,6.75,37,5.3,1,0,1,Medium Risk,0
STU-0246,68,0.7,64,38,8.21,78,6.5,1,1,1,Low Risk,1
STU-0247,65,0.5,98,33,6.11,44,8.4,1,1,0,Medium Risk,0
STU-0248,61,1.1,42,78,10.0,26,6.6,1,1,1,Medium Risk,0
STU-0249,100,3.2,49,88,5.37,44,7.7,1,1,0,Low Risk,1
STU-0250,83,8.4,54,100,10.0,59,6.8,1,1,1,Low Risk,1
STU-0251,49,6.1,56,81,7.07,30,7.4,1,0,1,Medium Risk,0
STU-0252,93,4.4,43,88,4.25,31,6.7,1,1,1,Medium Risk,0
STU-0253,100,4.7,100,53,9.74,100,8.0,1,0,1,Low Risk,1
STU-0254,95,3.3,63,41,7.25,38,4.7,1,0,0,Medium Risk,0
STU-0255,44,0.9,78,82,8.7,51,6.5,1,0,1,Medium Risk,0
STU-0256,65,7.1,55,73,9.45,50,7.4,1,1,1,Low Risk,1
STU-0257,100,3.3,24,67,7.68,49,7.8,1,1,1,Low Risk,1
STU-0258,60,2.5,76,72,5.82,75,9.2,1,1,0,Low Risk,1
STU-0259,83,0.5,22,71,8.95,83,6.4,0,1,1,Medium Risk,0
STU-0260,90,1.8,68,90,7.0,52,9.2,0,0,1,Low Risk,1
STU-0261,56,1.9,35,90,8.37,29,6.0,0,1,0,High Risk,0
STU-0262,73,6.0,100,75,2.69,91,9.0,1,0,0,Low Risk,1
STU-0263,10,2.4,92,81,7.89,57,8.2,1,1,0,Medium Risk,0
STU-0264,54,1.4,72,75,5.72,100,5.6,1,0,1,Medium Risk,0
STU-0265,69,11.3,100,55,10.0,3,7.5,1,1,0,Low Risk,1
STU-0266,50,0.5,48,80,8.25,64,6.9,1,1,1,Medium Risk,0
STU-0267,100,1.6,83,37,7.48,100,7.9,1,1,1,Low Risk,1
STU-0268,46,0.5,74,86,7.97,51,6.7,1,1,1,Low Risk,1
STU-0269,66,4.0,76,41,5.0,54,6.5,1,1,1,Low Risk,1
STU-0270,77,7.5,100,70,10.0,67,9.1,1,0,0,Low Risk,1
STU-0271,100,1.0,88,48,10.0,46,6.9,0,1,1,Medium Risk,0
STU-0272,46,5.9,77,76,7.79,52,8.2,1,1,1,Low Risk,1
STU-0273,98,1.0,28,64,10.0,51,6.7,1,0,1,Medium Risk,0
STU-0274,75,7.2,45,33,5.86,44,9.5,1,1,1,Medium Risk,0
STU-0275,55,4.2,66,73,5.41,90,6.0,1,0,1,Low Risk,1
STU-0276,84,4.9,72,53,7.08,71,6.1,1,1,0,Low Risk,1
STU-0277,78,0.5,41,82,7.87,66,9.3,1,0,1,Medium Risk,0
STU-0278,62,9.9,100,65,6.21,80,6.3,1,1,1,Low Risk,1
STU-0279,76,3.9,100,72,8.08,53,9.4,0,1,1,Low Risk,1
STU-0280,67,1.1,85,45,7.61,40,8.3,1,0,1,Medium Risk,0
STU-0281,77,5.3,71,53,5.0,44,6.8,1,1,0,Low Risk,1
STU-0282,88,1.0,64,55,8.04,60,4.3,1,1,1,Low Risk,1
STU-0283,100,6.2,46,82,8.73,33,7.0,1,1,1,Low Risk,1
STU-0284,50,0.5,71,98,7.34,47,7.2,1,1,0,Medium Risk,0
STU-0285,100,3.6,76,48,9.31,47,8.8,1,1,1,Low Risk,1
STU-0286,35,2.3,38,86,4.57,100,9.4,1,1,0,Medium Risk,0
STU-0287,71,0.5,78,21,7.94,0,6.0,0,0,1,Medium Risk,0
STU-0288,86,0.8,66,41,4.66,55,8.2,1,0,0,Medium Risk,0
STU-0289,80,0.5,22,45,4.77,100,8.1,1,1,1,Medium Risk,0
STU-0290,62,1.9,48,37,5.74,63,8.6,1,0,0,Medium Risk,0
STU-0291,70,1.1,59,33,5.12,78,7.7,1,1,1,Low Risk,1
STU-0292,65,2.7,100,73,5.9,62,4.1,1,1,0,Low Risk,1
STU-0293,63,1.1,83,60,6.57,43,6.8,0,1,0,Low Risk,1
STU-0294,91,1.1,36,72,8.67,3,5.3,1,0,1,Medium Risk,0
STU-0295,82,4.1,82,78,6.36,65,6.7,1,1,0,Low Risk,1
STU-0296,61,0.5,31,70,3.83,40,8.5,1,1,1,Medium Risk,0
STU-0297,92,7.0,97,78,9.28,39,7.5,1,0,1,Low Risk,1
STU-0298,81,5.7,58,63,5.33,47,8.7,1,1,1,Low Risk,1
STU-0299,91,3.3,67,41,6.88,100,7.5,1,1,1,Low Risk,1
STU-0300,87,2.7,100,86,7.89,100,5.1,1,0,0,Low Risk,1
STU-0301,58,6.7,37,53,7.4,65,3.2,1,1,0,Medium Risk,0
STU-0302,63,0.6,35,46,9.19,48,7.2,1,0,1,Medium Risk,0
STU-0303,89,0.5,55,61,7.96,30,6.7,1,1,0,Low Risk,1
STU-0304,87,0.8,95,46,5.28,71,5.5,1,1,1,Low Risk,1
STU-0305,74,4.7,32,56,10.0,100,4.4,1,1,0,Low Risk,1
STU-0306,77,0.5,0,71,7.39,53,5.9,1,1,1,Low Risk,1
STU-0307,100,2.6,58,71,6.71,0,6.7,0,1,0,Medium Risk,0
STU-0308,63,12.0,83,47,8.93,76,8.0,1,1,1,Low Risk,1
STU-0309,85,5.8,100,55,7.5,84,7.3,0,1,0,Low Risk,1
STU-0310,70,2.2,58,86,7.8,20,9.4,1,0,0,Medium Risk,0
STU-0311,70,0.5,59,74,10.0,64,5.4,1,0,1,Low Risk,1
STU-0312,96,5.3,98,100,6.45,71,8.3,0,1,0,Low Risk,1
STU-0313,91,2.7,23,88,6.36,58,7.1,1,1,1,Low Risk,1
STU-0314,91,0.5,60,87,7.23,40,8.0,1,0,1,Low Risk,1
STU-0315,100,0.5,74,37,9.14,85,6.3,1,0,0,Medium Risk,0
STU-0316,75,7.2,81,80,3.99,49,8.6,1,1,1,Low Risk,1
STU-0317,88,3.3,57,63,3.07,22,7.4,1,1,1,Low Risk,1
STU-0318,68,5.3,70,53,5.83,8,6.0,1,1,1,Low Risk,1
STU-0319,81,6.3,7,68,3.73,91,7.0,1,1,1,Low Risk,1
STU-0320,72,2.5,53,83,6.15,75,6.6,0,1,1,Low Risk,1
STU-0321,76,2.2,81,75,8.0,62,7.7,0,1,0,Low Risk,1
STU-0322,86,1.7,45,47,5.22,48,5.2,1,1,0,Medium Risk,0
STU-0323,58,1.1,71,79,4.15,46,7.0,1,0,1,Medium Risk,0
STU-0324,100,1.7,81,52,7.14,33,7.6,1,1,0,Low Risk,1
STU-0325,54,4.5,61,69,8.73,49,7.0,1,1,0,Low Risk,1
STU-0326,50,2.8,74,58,3.61,6,9.0,1,1,1,Medium Risk,0
STU-0327,98,6.7,45,60,8.64,41,8.2,1,0,1,Low Risk,1
STU-0328,90,1.8,64,80,8.63,52,7.0,1,1,0,Low Risk,1
STU-0329,87,2.8,85,44,8.91,75,7.3,1,0,0,Medium Risk,0
STU-0330,87,3.0,73,100,9.44,59,7.4,1,0,0,Low Risk,1
STU-0331,74,2.7,55,28,10.0,79,7.6,1,1,0,Medium Risk,0
STU-0332,57,3.6,75,53,6.29,93,4.3,1,1,0,Low Risk,1
STU-0333,76,0.8,87,72,7.22,86,6.5,1,1,0,Low Risk,1
STU-0334,61,2.2,18,76,6.17,71,4.8,1,1,1,Medium Risk,0
STU-0335,94,0.5,98,62,7.0,60,8.9,0,1,1,Low Risk,1
STU-0336,72,1.5,61,63,10.0,35,6.9,1,1,0,Low Risk,1
STU-0337,58,2.0,80,73,4.31,78,6.7,0,1,0,Medium Risk,0
STU-0338,68,3.2,99,60,5.28,100,8.3,1,0,1,Low Risk,1
STU-0339,83,9.0,35,92,9.75,68,7.6,1,1,0,Low Risk,1
STU-0340,63,2.8,52,81,9.04,100,5.3,1,1,1,Low Risk,1
STU-0341,58,4.1,62,82,6.27,21,6.9,1,0,1,Medium Risk,0
STU-0342,79,2.1,50,45,8.71,31,6.5,1,1,1,Medium Risk,0
STU-0343,79,3.0,100,63,7.68,81,4.4,1,1,0,Low Risk,1
